iter	Passed	Remaining
588	9007	6285
589	9020	6268
590	9037	6254
591	9051	6238
592	9066	6222
593	9079	6205
594	9096	6191
595	9112	6176
596	9127	6161
597	9141	6145
598	9156	6130
599	9170	6113
600	9182	6096
601	9195	6079
602	9211	6064
603	9227	6049
604	9244	6035
605	9260	6020
606	9274	6004
607	9286	5987
608	9303	5973
609	9318	5957
610	9333	5942
611	9348	5927
612	9362	5910
613	9377	5895
614	9391	5879
615	9409	5865
616	9422	5849
617	9437	5833
618	9454	5819
619	9470	5804
620	9486	5789
621	9500	5773
622	9515	5758
623	9529	5742
624	9544	5726
625	9558	5710
626	9572	5694
627	9586	5678
628	9601	5663
629	9616	5648
630	9631	5632
631	9645	5616
632	9660	5600
633	9674	5584
634	9689	5569
635	9703	5553
636	9718	5537
637	9734	5523
638	9749	5507
639	9763	5491
640	9779	5477
641	9797	5463
642	9810	5446
643	9826	5431
644	9842	5417
645	9854	5400
646	9868	5383
647	9884	5369
648	9898	5353
649	9912	5337
650	9929	5323
651	9944	5307
652	9960	5292
653	9972	5275
654	9989	5261
655	10004	5246
656	10017	5229
657	10033	5215
658	10048	5199
659	10064	5184
660	10078	5168
661	10091	5152
662	10108	5137
663	10124	5123
664	10139	5107
665	10154	5092
666	10168	5076
667	10185	5062
668	10201	5047
669	10216	5031
670	10229	5015
671	10245	5000
672	10261	4985
673	10277	4970
674	10292	4955
675	10307	4940
676	10322	4924
677	10335	4908
678	10349	4892
679	10364	4877
680	10381	4862
681	10397	4848
682	10411	4832
683	10427	4817
684	10439	4800
685	10456	4786
686	10470	4770
687	10484	4754
688	10497	4738
689	10511	4722
690	10525	4706
691	10539	4690
692	10556	4676
693	10573	4662
694	10589	4647
695	10603	4631
696	10616	4615
697	10633	4600
698	10648	4585
699	10662	4569
700	10680	4555
701	10697	4540
702	10712	4525
703	10729	4511
704	10745	4496
705	10760	4481
706	10775	4465
707	10788	4449
708	10806	4435
709	10819	4419
710	10832	4403
711	10846	4387
712	10861	4371
713	10878	4357
714	10893	4342
715	10909	4327
716	10924	4312
717	10938	4296
718	10954	4281
719	10969	4265
720	10984	4250
721	10999	4235
722	11015	4220
723	11030	4204
724	11045	4189
725	11063	4175
726	11078	4160
727	11097	4146
728	11110	4130
729	11127	4115
730	11141	4099
731	11153	4083
732	11165	4067
733	11180	4051
734	11195	4036
735	11210	4021
736	11226	4006
737	11241	3990
738	11255	3975
739	11269	3959
740	11284	3944
741	11299	3928
742	11313	3913
743	11331	3899
744	11348	3884
745	11362	3868
746	11379	3853
747	11395	3839
748	11412	3824
749	11428	3809
750	11444	3794
751	11460	3779
752	11474	3763
753	11488	3748
754	11504	3733
755	11517	3717
756	11532	3702
757	11546	3686
758	11560	3670
759	11576	3655
760	11593	3640
761	11608	3625
762	11624	3610
763	11637	3594
764	11649	3578
765	11665	3563
766	11680	3548
767	11696	3533
768	11713	3518
769	11727	3503
770	11742	3487
771	11758	3472
772	11773	3457
773	11787	3441
774	11801	3426
775	11817	3411
776	11832	3396
777	11847	3380
778	11863	3365
779	11878	3350
780	11894	3335
781	11910	3320
782	11924	3304
783	11940	3289
784	11954	3274
785	11968	3258
786	11988	3244
787	12001	3228
788	12017	3213
789	12034	3198
790	12048	3183
791	12061	3167
792	12075	3152
793	12091	3137
794	12104	3121
795	12118	3105
796	12133	3090
797	12147	3074
798	12165	3060
799	12181	3045
800	12197	3030
801	12212	3015
802	12224	2999
803	12240	2984
804	12254	2968
805	12270	2953
806	12284	2937
807	12304	2923
808	12319	2908
809	12335	2893
810	12349	2878
811	12362	2862
812	12377	2846
813	12391	2831
814	12406	2816
815	12420	2800
816	12434	2785
817	12449	2769
818	12465	2754
819	12480	2739
820	12496	2724
821	12511	2709
822	12524	2693
823	12538	2678
824	12553	2662
825	12569	2647
826	12583	2632
827	12596	2616
828	12610	2601
829	12625	2585
830	12638	2570
831	12654	2555
832	12668	2539
833	12683	2524
834	12697	2509
835	12713	2493
836	12729	2479
837	12743	2463
838	12760	2448
839	12776	2433
840	12790	2418
841	12805	2402
842	12819	2387
843	12834	2372
844	12846	2356
845	12863	2341
846	12879	2326
847	12895	2311
848	12911	2296
849	12926	2281
850	12943	2266
851	12960	2251
852	12977	2236
853	12993	2221
854	13007	2205
855	13022	2190
856	13035	2175
857	13050	2159
858	13064	2144
859	13078	2129
860	13094	2113
861	13108	2098
862	13123	2083
863	13136	2067
864	13152	2052
865	13166	2037
866	13182	2022
867	13197	2007
868	13213	1991
869	13226	1976
870	13240	1960
871	13257	1945
872	13272	1930
873	13288	1915
874	13304	1900
875	13320	1885
876	13333	1870
877	13346	1854
878	13361	1839
879	13379	1824
880	13393	1809
881	13409	1793
882	13424	1778
883	13439	1763
884	13455	1748
885	13473	1733
886	13489	1718
887	13504	1703
888	13519	1687
889	13534	1672
890	13550	1657
891	13564	1642
